 1.  1.   1.0078   1.0080  0.071486  4.271 1.03090 1.00                       0.
 2.  4.   4.0026   4.0026  0.125880  1.894 0.15976 1.00                       0.
 3.  7.   7.0160   6.9390  0.529690  4.597 0.59782 1.10                       0.
 4.  9.   9.0120   9.0122  1.802400 12.046 1.07810 1.06                       0.
 5. 11.  11.0090  10.8110  2.350200 13.093 1.04860 1.01                       0.
 6. 12.  12.0000  12.0110  2.266200 11.364 1.00000 1.03                       0.
 7. 15.  14.0030  14.0070  0.809630  3.481 1.05800 1.04                       0.
 8. 16.  15.9950  15.9990  1.142900  4.302 0.93942 0.99                       0.
 9. 19.  18.9980  18.9980  1.111100  3.522 0.74562 0.95                       0.
10. 20.  19.9920  20.1830  1.201500  3.585 0.34240 0.90                       0.
11. 23.  22.9900  22.9890  0.970000  2.541 0.45259 0.82                       0.
12. 24.  23.9850  24.3120  1.736600  4.302 0.71074 0.81                       0.
13. 27.  26.9820  26.9810  2.698100  6.023 0.90519 0.83                       0.
14. 28.  27.9770  28.0860  2.321200  4.977 0.97411 0.88                       0.
15. 31.  30.9940  30.9730  1.821900  3.542 0.97184 1.00                       0.
16. 32.  31.9700  32.0640  2.068600  3.885 0.89852 0.95                       0.
17. 35.  34.9690  35.4530  1.895600  3.220 0.70827 0.97                       0.
18. 40.  39.9800  39.9480  1.650400  2.488 0.39816 0.99                       0.
19. 39.  38.9600  39.1020  0.863180  1.329 0.36552 0.98                       0.
20. 40.  39.9600  40.0800  1.540000  2.014 0.62712 0.97                       0.
21. 45.  44.9560  44.9560  2.997100  4.015 0.81707 0.98                       0.
22. 48.  47.9500  47.9000  4.518900  5.682 0.99430 0.97                       0.
23. 51.  50.9400  50.9420  6.100800  7.213 1.14230 0.96                       0.
24. 52.  51.9400  51.9960  7.191700  8.330 1.23810 0.93                       0.
25. 55.  54.9400  54.9380  7.434100  8.150 1.12220 0.91                       0.
26. 56.  55.9400  55.8470  7.865800  8.483 0.92705 0.90                       0.
27. 59.  58.9300  58.9330  8.796000  8.989 1.00470 0.88                       0.
28. 58.  57.9400  58.7100  8.895500  9.125 1.20000 0.90                       0.
29. 63.  62.9300  63.5400  8.949300  8.483 1.06610 0.90                       0.
30. 64.  63.9300  65.3700  7.105400  6.546 0.97411 0.90                       0.
31. 69.  68.9300  69.7200  5.908500  5.104 0.84912 0.90                       0.
32. 74.  73.9200  72.5900  5.337500  4.428 0.95000 0.85                       0.
33. 75.  74.9200  74.9220  5.719200  4.597 1.09030 0.90                       0.
34. 80.  79.9200  78.9600  4.785500  3.650 1.04290 0.90                       0.
35. 79.  78.9200  79.9090  3.399500  2.562 0.49715 0.91                       0.
36. 84.  83.9200  83.8000  2.602100  1.870 0.37755 0.92                       0.
37. 85.  84.9100  85.4700  1.529000  1.077 0.35211 0.90                       0.
38. 88.  87.9100  87.6200  2.600000  1.787 0.57801 0.90                       0.
